bar_index,equity,peak,drawdown_pct,bar_return,rolling_sharpe_60
273,10034.949430384127,10215.006032079598,1.7626676002932755,0.0,-9.202886636505557
274,10034.949430384127,10215.006032079598,1.7626676002932755,0.0,-9.202886636505557
275,10034.949430384127,10215.006032079598,1.7626676002932755,0.0,-9.202886636505557
276,10034.949430384127,10215.006032079598,1.7626676002932755,0.0,-9.202886636505557
277,10034.949430384127,10215.006032079598,1.7626676002932755,0.0,-9.202886636505557
278,10034.949430384127,10215.006032079598,1.7626676002932755,0.0,-9.202886636505557
279,10034.949430384127,10215.006032079598,1.7626676002932755,0.0,-9.202886636505557
280,10034.949430384127,10215.006032079598,1.7626676002932755,0.0,-9.202886636505557
281,10034.949430384127,10215.006032079598,1.7626676002932755,0.0,-9.202886636505557
282,10034.949430384127,10215.006032079598,1.7626676002932755,0.0,-9.202886636505557
283,10031.010373999656,10215.006032079598,1.801229069293895,-0.0003925337553316386,-9.855129378523547
284,10031.38190522735,10215.006032079598,1.7975919571225685,3.7038265722215966e-05,-9.787090781492987
285,10000.349957860433,10215.006032079598,2.1013798087348246,-0.003093486785778358,-11.483979847613732
286,10000.349957860433,10215.006032079598,2.1013798087348246,0.0,-11.483979847613732
287,10000.349957860433,10215.006032079598,2.1013798087348246,0.0,-11.483979847613732
288,10000.349957860433,10215.006032079598,2.1013798087348246,0.0,-11.483979847613732
289,10000.349957860433,10215.006032079598,2.1013798087348246,0.0,-11.483979847613732
290,10000.349957860433,10215.006032079598,2.1013798087348246,0.0,-11.483979847613732
291,10000.349957860433,10215.006032079598,2.1013798087348246,0.0,-11.483979847613732
292,10000.349957860433,10215.006032079598,2.1013798087348246,0.0,-11.483979847613732
293,10000.349957860433,10215.006032079598,2.1013798087348246,0.0,-11.483979847613732
294,10000.349957860433,10215.006032079598,2.1013798087348246,0.0,-11.483979847613732
295,10000.349957860433,10215.006032079598,2.1013798087348246,0.0,-11.483979847613732
296,10000.349957860433,10215.006032079598,2.1013798087348246,0.0,-11.483979847613732
297,10000.349957860433,10215.006032079598,2.1013798087348246,0.0,-11.483979847613732
298,10000.349957860433,10215.006032079598,2.1013798087348246,0.0,-11.483979847613732
299,10000.349957860433,10215.006032079598,2.1013798087348246,0.0,-11.483979847613732
300,10000.349957860433,10215.006032079598,2.1013798087348246,0.0,-11.483979847613732
301,10000.349957860433,10215.006032079598,2.1013798087348246,0.0,-11.483979847613732
302,10000.349957860433,10215.006032079598,2.1013798087348246,0.0,-11.483979847613732
303,10000.349957860433,10215.006032079598,2.1013798087348246,0.0,-11.483979847613732
304,10000.349957860433,10215.006032079598,2.1013798087348246,0.0,-11.483979847613732
305,10000.349957860433,10215.006032079598,2.1013798087348246,0.0,-11.483979847613732
306,10000.349957860433,10215.006032079598,2.1013798087348246,0.0,-11.483979847613732
307,10000.349957860433,10215.006032079598,2.1013798087348246,0.0,-11.483979847613732
308,10000.349957860433,10215.006032079598,2.1013798087348246,0.0,-11.483979847613732
309,10000.349957860433,10215.006032079598,2.1013798087348246,0.0,-11.483979847613732
310,10000.349957860433,10215.006032079598,2.1013798087348246,0.0,-11.483979847613732
311,10000.349957860433,10215.006032079598,2.1013798087348246,0.0,-11.483979847613732
312,10000.349957860433,10215.006032079598,2.1013798087348246,0.0,-11.483979847613732
313,10000.349957860433,10215.006032079598,2.1013798087348246,0.0,-11.483979847613732
314,10000.349957860433,10215.006032079598,2.1013798087348246,0.0,-11.483979847613732
315,10000.349957860433,10215.006032079598,2.1013798087348246,0.0,-11.483979847613732
316,10000.349957860433,10215.006032079598,2.1013798087348246,0.0,-10.904546005798709
317,10000.349957860433,10215.006032079598,2.1013798087348246,0.0,-9.889169180529235
318,10000.349957860433,10215.006032079598,2.1013798087348246,0.0,-7.847053869645667
